species,GDD,height,anchorage_force
Carrot,393,9.2,0.751
Carrot,340,4.9,0.749
Mustard,213,3.1,0.747
Mustard,213,3.4,0.746
Setfa,263,5.1,0.742
Mustard,213,2.9,0.74
Setfa,340,7.2,0.739
Setfa,340,6.9,0.738
Mustard,263,5.1,0.736
Setfa,393,8.2,0.736
Carrot,263,3.7,0.735
Amaranth,340,5.4,0.735
Carrot,263,3.3,0.733
Carrot,340,4,0.732
Mustard,213,5,0.731
Carrot,213,3.1,0.728
Setfa,340,5.8,0.727
Mustard,213,3.3,0.725
Mustard,164,3.4,0.724
Carrot,213,2.8,0.724
Mustard,213,3.3,0.721
Cheal,393,3.1,0.721
Mustard,164,2.5,0.721
Mustard,263,3.8,0.72
Mustard,164,3.6,0.718
Setfa,393,5.6,0.718
Mustard,213,2.8,0.717
Cheal,393,4.2,0.714
Mustard,113,1.2,0.713
Mustard,213,3.3,0.712
Mustard,213,3.5,0.709
Setfa,393,6.4,0.708
Carrot,213,3.3,0.708
Mustard,164,2,0.705
Mustard,164,3.4,0.704
Mustard,164,3.6,0.702
Mustard,164,2.5,0.702
Cheal,340,3.8,0.701
Carrot,213,2.8,0.698
Carrot,263,3.2,0.698
Setfa,340,6.1,0.697
Digsa,340,5,0.697
Cheal,393,3.6,0.697
Mustard,164,3.9,0.696
Mustard,164,2.7,0.696
Carrot,213,3,0.693
Mustard,213,3.1,0.693
Mustard,113,1.4,0.693
Carrot,213,2.7,0.692
Carrot,263,3.9,0.691
Digsa,340,7.1,0.69
Setfa,340,6.9,0.687
Carrot,263,3.8,0.687
Setfa,263,5,0.684
Setfa,340,5.5,0.681
Setfa,393,6,0.681
Setfa,340,5.6,0.679
Carrot,213,2.9,0.678
Mustard,113,1.2,0.677
Carrot,263,3.2,0.677
Carrot,263,4.7,0.677
Mustard,263,4.1,0.675
Setfa,263,5,0.675
Carrot,263,4.3,0.674
Setfa,263,4.9,0.674
Mustard,213,4.6,0.673
Carrot,263,3.9,0.672
Setfa,340,3.4,0.672
Carrot,340,6,0.672
Mustard,213,3.4,0.67
Mustard,213,3,0.666
Carrot,213,2.8,0.665
Amaranth,340,4.1,0.664
Setfa,263,6.4,0.661
Setfa,393,6.5,0.66
Carrot,213,3,0.66
Amaranth,263,3.9,0.659
Mustard,164,2.3,0.658
Mustard,213,3,0.658
Mustard,164,2.3,0.657
Carrot,263,4.1,0.656
Setfa,340,5.6,0.656
Mustard,164,3.8,0.655
Carrot,263,3.3,0.655
Setfa,263,3.3,0.653
Carrot,263,3.9,0.653
Mustard,164,2.8,0.649
Carrot,263,3.6,0.649
Setfa,393,7.4,0.649
Carrot,263,3.9,0.648
Cheal,393,4.2,0.647
Mustard,164,2.9,0.644
Setfa,263,4.2,0.643
Carrot,164,3,0.64
Cheal,393,3.1,0.64
Mustard,113,2.3,0.638
Setfa,263,3.6,0.636
Carrot,213,3.2,0.635
Setfa,263,4.4,0.635
Carrot,213,2.8,0.635
Carrot,263,2.9,0.635
Carrot,213,3.9,0.633
Cheal,393,3.3,0.633
Amaranth,393,4.8,0.633
Mustard,164,3.1,0.631
Amaranth,340,3.3,0.631
Setfa,340,9.8,0.629
Mustard,263,3.3,0.625
Mustard,164,2.4,0.624
Carrot,213,2.9,0.624
Setfa,263,3.2,0.624
Mustard,113,2.9,0.622
Setfa,393,4.5,0.622
Mustard,164,3.6,0.621
Carrot,263,3.3,0.621
Mustard,213,3.2,0.621
Cheal,393,3.6,0.62
Mustard,213,3.5,0.619
Carrot,164,1.6,0.618
Setfa,263,3.8,0.617
Mustard,164,1.8,0.617
Amaranth,340,3.1,0.616
Digsa,213,1.9,0.615
Setfa,393,8.6,0.615
Carrot,340,6.5,0.614
Mustard,164,4.3,0.613
Setfa,340,5.4,0.613
Cheal,393,3.4,0.613
Setfa,263,4.2,0.612
Setfa,340,4.8,0.609
Carrot,263,3.1,0.609
Carrot,213,3.5,0.608
Setfa,263,4.2,0.606
Mustard,164,3.3,0.603
Mustard,213,4.1,0.6
Setfa,340,5,0.598
Mustard,164,1.6,0.598
Setfa,263,4.3,0.598
Cheal,340,3.8,0.597
Amaranth,213,3,0.596
Mustard,113,1.4,0.59
Setfa,393,5.6,0.589
Setfa,213,1.5,0.588
Carrot,263,4,0.588
Mustard,164,2.5,0.585
Cheal,393,3.4,0.584
Setfa,263,3,0.582
Carrot,263,3.8,0.582
Carrot,213,2.7,0.582
Carrot,213,3.1,0.581
Setfa,340,7.6,0.581
Amaranth,340,4.1,0.58
Carrot,213,3.5,0.577
Mustard,263,3.6,0.575
Amaranth,263,2.2,0.574
Mustard,164,2.8,0.574
Cheal,340,3.6,0.573
Carrot,263,3,0.573
Mustard,113,0.8,0.573
Carrot,213,3,0.572
Setfa,263,3.5,0.57
Mustard,164,3.2,0.567
Carrot,213,3.2,0.564
Carrot,263,3.3,0.563
Setfa,340,4,0.563
Amaranth,263,3.9,0.562
Mustard,113,1.6,0.561
Mustard,113,2.6,0.56
Mustard,164,3,0.559
Amaranth,263,3.1,0.556
Digsa,340,4.2,0.556
Carrot,263,3.5,0.555
Mustard,164,2.5,0.554
Mustard,113,1.2,0.554
Mustard,113,1.2,0.554
Amaranth,213,2.4,0.553
Mustard,113,1.3,0.553
Setfa,213,2.3,0.553
Carrot,213,2.9,0.552
Setfa,393,8,0.55
Amaranth,263,2.9,0.55
Mustard,164,3.6,0.549
Setfa,263,4.3,0.548
Setfa,213,2.8,0.548
Mustard,164,2.8,0.548
Amaranth,263,3.2,0.546
Amaranth,340,4.3,0.541
Setfa,393,4.3,0.541
Amaranth,113,2.1,0.54
Setfa,213,2.2,0.538
Digsa,213,1,0.538
Cheal,393,4.2,0.536
Setfa,263,4.2,0.535
Amaranth,263,3,0.535
Mustard,164,2.2,0.535
Mustard,164,2.9,0.534
Mustard,113,1.6,0.532
Carrot,213,2.6,0.532
Mustard,164,2.3,0.531
Carrot,263,3.1,0.529
Setfa,263,4.1,0.528
Setfa,263,2.8,0.528
Mustard,113,2.2,0.527
Carrot,164,2.6,0.527
Mustard,164,3.3,0.527
Amaranth,213,2.5,0.527
Cheal,393,3.4,0.527
Carrot,213,3,0.527
Setfa,263,4.6,0.525
Digsa,340,5.6,0.523
Mustard,164,3.1,0.522
Carrot,213,1.9,0.522
Carrot,263,4.7,0.521
Setfa,340,3.7,0.521
Cheal,340,3.2,0.521
Carrot,340,5.5,0.52
Setfa,213,2.5,0.52
Carrot,263,3.5,0.518
Amaranth,263,3.1,0.518
Mustard,113,1.6,0.517
Mustard,113,2,0.517
Amaranth,213,2.6,0.517
Carrot,213,3.1,0.517
Carrot,213,1.7,0.517
Mustard,164,2.8,0.515
Mustard,113,1.7,0.514
Setfa,393,3.5,0.514
Amaranth,263,4.6,0.513
Setfa,263,2.9,0.512
Setfa,263,3.6,0.511
Carrot,263,4.1,0.51
Mustard,213,2.7,0.51
Carrot,213,3.5,0.51
Setfa,263,2,0.51
Cheal,393,3.4,0.509
Amaranth,213,2.5,0.509
Mustard,213,3.4,0.507
Amaranth,263,3,0.506
Amaranth,263,3.5,0.506
Setfa,393,7.7,0.506
Mustard,113,1,0.505
Cheal,393,3.8,0.504
Cheal,393,4.1,0.504
Setfa,213,2.5,0.504
Cheal,263,3.4,0.503
Carrot,164,2.6,0.501
Digsa,263,1.6,0.501
Mustard,113,0.9,0.501
Carrot,213,2.5,0.5
Setfa,213,2.1,0.499
Amaranth,263,3.3,0.499
Setfa,340,3.7,0.498
Setfa,263,4.5,0.498
Carrot,213,2.7,0.497
Setfa,213,2.4,0.497
Mustard,113,0.9,0.496
Mustard,164,2.5,0.495
Mustard,213,3.3,0.494
Mustard,113,1.3,0.494
Carrot,263,4.5,0.493
Amaranth,263,4,0.493
Amaranth,263,3,0.492
Carrot,213,2.9,0.49
Digsa,263,5.1,0.49
Mustard,113,1.9,0.489
Mustard,113,1.7,0.489
Amaranth,263,2.4,0.488
Setfa,263,3.1,0.487
Amaranth,340,2.4,0.487
Cheal,340,2.3,0.487
Carrot,263,2.4,0.487
Amaranth,263,2.7,0.486
Carrot,213,3.1,0.485
Setfa,263,4.2,0.485
Setfa,340,4.8,0.485
Amaranth,263,2.2,0.483
Amaranth,340,3.6,0.482
Carrot,213,3,0.481
Carrot,213,2.4,0.481
Carrot,263,4.2,0.481
Mustard,113,1.5,0.48
Carrot,213,2.9,0.48
Amaranth,263,3.5,0.48
Mustard,113,1.4,0.48
Mustard,113,2.1,0.479
Mustard,164,3.6,0.478
Setfa,213,1.8,0.478
Mustard,113,1.6,0.478
Amaranth,263,2.5,0.478
Setfa,263,2.9,0.477
Mustard,113,1.1,0.477
Mustard,164,2.9,0.476
Mustard,164,2.4,0.475
Amaranth,263,4,0.475
Mustard,164,3.1,0.474
Amaranth,263,4.1,0.474
Setfa,213,3.1,0.474
Mustard,164,2.6,0.474
Amaranth,213,2,0.473
Amaranth,263,2.5,0.471
Amaranth,213,2.4,0.471
Setfa,213,2.7,0.471
Carrot,164,2.9,0.471
Carrot,164,2.5,0.47
Carrot,340,3.8,0.47
Digsa,213,2,0.469
Amaranth,263,4,0.468
Setfa,263,3.9,0.467
Amaranth,340,4.4,0.467
Cheal,263,3.4,0.466
Mustard,164,1.9,0.466
Setfa,213,2.6,0.465
Carrot,164,3.3,0.464
Carrot,213,2.5,0.464
Carrot,263,3.3,0.464
Setfa,213,2.1,0.463
Amaranth,263,3.6,0.461
Cheal,340,3.5,0.461
Amaranth,263,3.9,0.46
Amaranth,340,3.3,0.46
Amaranth,263,2.7,0.46
Cheal,340,2.7,0.459
Digsa,263,3.1,0.459
Carrot,213,2.6,0.458
Mustard,164,3.5,0.457
Setfa,213,2.4,0.456
Digsa,263,2.9,0.456
Mustard,164,2.6,0.456
Mustard,113,1.2,0.455
Setfa,213,1.6,0.455
Carrot,263,3.1,0.455
Mustard,113,1.4,0.453
Cheal,263,2.4,0.453
Digsa,263,3.5,0.453
Cheal,393,4.1,0.453
Amaranth,113,1.3,0.452
Setfa,213,2.3,0.451
Setfa,263,2.5,0.451
Amaranth,113,1.8,0.449
Carrot,213,4,0.449
Carrot,164,1.7,0.449
Carrot,164,1.8,0.448
Setfa,213,2.9,0.448
Setfa,213,2,0.448
Carrot,393,8.5,0.448
Amaranth,263,2.7,0.448
Carrot,213,2.9,0.446
Amaranth,113,2.2,0.445
Digsa,164,0.9,0.445
Setfa,263,2.8,0.445
Mustard,263,3.5,0.444
Amaranth,263,2,0.444
Setfa,263,2,0.443
Cheal,340,2.3,0.442
Carrot,164,1.5,0.442
Amaranth,213,2.5,0.44
Setfa,263,2.4,0.44
Setfa,263,2,0.44
Amaranth,263,2.5,0.439
Amaranth,213,2.5,0.438
Setfa,263,3.1,0.437
Amaranth,263,2.4,0.436
Setfa,340,4.2,0.434
Cheal,340,2.8,0.432
Cheal,393,4,0.432
Digsa,263,2,0.432
Amaranth,263,2.5,0.432
Setfa,263,3.2,0.432
Cheal,164,2,0.43
Carrot,164,3.1,0.43
Setfa,213,1.4,0.429
Setfa,213,1.7,0.429
Mustard,113,1.3,0.428
Amaranth,263,2.6,0.427
Setfa,213,1.6,0.427
Cheal,263,2.6,0.427
Cheal,213,2.4,0.426
Carrot,164,2,0.426
Mustard,113,1.5,0.425
Mustard,113,1.5,0.424
Setfa,164,1.6,0.424
Cheal,263,1.9,0.423
Setfa,213,2.1,0.422
Carrot,164,2.6,0.421
Setfa,213,2.5,0.42
Setfa,213,3,0.42
Carrot,263,4.2,0.42
Cheal,263,2.1,0.42
Mustard,113,2.2,0.419
Carrot,213,2.9,0.419
Setfa,164,1.5,0.418
Setfa,263,4.5,0.418
Setfa,164,1.6,0.416
Amaranth,263,2.7,0.416
Cheal,393,2.6,0.416
Digsa,263,2.8,0.416
Setfa,263,1.9,0.416
Carrot,164,2.2,0.416
Carrot,213,3.4,0.415
Setfa,213,1.1,0.415
Cheal,263,2.4,0.415
Cheal,340,2.9,0.415
Digsa,263,1.8,0.415
Setfa,213,1.7,0.414
Carrot,263,3.6,0.414
Amaranth,213,3.2,0.413
Setfa,263,2.8,0.413
Setfa,263,2.5,0.413
Amaranth,263,3,0.412
Mustard,113,1,0.412
Amaranth,263,2.6,0.412
Setfa,263,2.1,0.411
Amaranth,340,3.4,0.411
Mustard,113,1.6,0.41
Mustard,113,1.5,0.41
Carrot,340,4.1,0.41
Amaranth,213,1.9,0.409
Setfa,164,1.9,0.408
Carrot,164,2,0.408
Setfa,213,1.6,0.408
Amaranth,213,1.6,0.408
Setfa,213,2.5,0.408
Amaranth,113,1.6,0.407
Amaranth,213,2.7,0.407
Cheal,263,2.8,0.407
Digsa,263,1.7,0.407
Mustard,164,2.6,0.407
Amaranth,113,1.4,0.406
Carrot,164,2.7,0.406
Digsa,263,3.9,0.405
Digsa,340,3.4,0.405
Carrot,213,2.3,0.405
Carrot,263,3.6,0.405
Setfa,213,1.7,0.404
Cheal,340,3.1,0.404
Setfa,164,1.6,0.404
Mustard,164,4,0.403
Digsa,263,2.1,0.403
Carrot,213,2.3,0.403
Setfa,213,1.4,0.403
Amaranth,213,2.5,0.402
Setfa,213,1.9,0.401
Setfa,164,0.8,0.401
Amaranth,263,2.4,0.4
Setfa,213,2.7,0.4
Setfa,263,2.1,0.4
Mustard,164,2,0.4
Cheal,113,1.5,0.398
Amaranth,213,1.8,0.398
Carrot,164,2.2,0.398
Amaranth,263,3.4,0.398
Setfa,164,1,0.398
Amaranth,113,1.2,0.397
Cheal,263,3.2,0.397
Digsa,263,3.1,0.396
Mustard,113,0.8,0.396
Amaranth,113,1.3,0.396
Cheal,213,2.9,0.396
Setfa,263,3.1,0.395
Digsa,263,2,0.395
Digsa,340,3.1,0.394
Carrot,213,2.7,0.394
Carrot,263,3.3,0.392
Cheal,340,3.2,0.392
Amaranth,393,5.6,0.392
Mustard,113,1.7,0.392
Setfa,213,1.9,0.391
Amaranth,213,2.6,0.391
Setfa,263,2,0.391
Mustard,113,1.1,0.391
Carrot,213,2.4,0.39
Amaranth,263,4.1,0.39
Amaranth,213,2.8,0.389
Amaranth,263,3,0.389
Setfa,213,1.9,0.388
Digsa,263,1.2,0.388
Mustard,113,1.3,0.388
Digsa,263,2.2,0.388
Carrot,213,2.6,0.387
Amaranth,263,2.3,0.387
Cheal,393,2.8,0.387
Amaranth,213,2.4,0.387
Cheal,164,1.5,0.384
Digsa,213,2.6,0.384
Carrot,263,3.7,0.384
Digsa,393,4,0.384
Amaranth,263,3.5,0.383
Carrot,213,2,0.381
Amaranth,263,3.4,0.381
Amaranth,393,2.5,0.381
Digsa,263,2.1,0.381
Setfa,263,2.6,0.381
Setfa,164,2.9,0.38
Setfa,164,1.5,0.38
Amaranth,164,1.2,0.38
Amaranth,263,3.9,0.38
Cheal,340,3.2,0.38
Carrot,213,2.2,0.38
Digsa,340,3.6,0.379
Cheal,393,2.2,0.379
Cheal,393,2.6,0.379
Mustard,113,1.8,0.379
Mustard,164,3.3,0.378
Amaranth,213,2.2,0.378
Carrot,263,3.7,0.377
Digsa,263,3.1,0.377
Carrot,263,4.4,0.377
Amaranth,213,2.5,0.376
Cheal,263,2.6,0.374
Setfa,213,2.4,0.373
Amaranth,263,3.1,0.373
Digsa,263,1.7,0.373
Setfa,213,2.5,0.373
Carrot,164,2,0.372
Amaranth,213,2.3,0.37
Carrot,164,2.9,0.369
Carrot,164,2.3,0.369
Carrot,164,1.2,0.369
Amaranth,263,2.9,0.368
Cheal,340,3.6,0.368
Amaranth,263,2.9,0.368
Setfa,263,2.9,0.368
Setfa,213,1.9,0.367
Cheal,263,4.2,0.367
Carrot,263,2.4,0.367
Cheal,263,1.3,0.366
Amaranth,213,1.5,0.366
Setfa,263,2.2,0.365
Setfa,164,1.4,0.364
Setfa,164,1.9,0.363
Setfa,164,1.5,0.363
Mustard,164,2.8,0.362
Digsa,263,1.7,0.362
Setfa,164,1.1,0.362
Amaranth,263,2.5,0.362
Cheal,340,2.2,0.361
Setfa,263,2.8,0.361
Setfa,263,2.2,0.361
Setfa,213,1.9,0.36
Cheal,213,1.9,0.36
Digsa,263,1.8,0.36
Amaranth,263,3.4,0.36
Cheal,213,1.7,0.36
Setfa,213,1.8,0.359
Carrot,164,1.7,0.359
Amaranth,213,3,0.359
Carrot,164,2.7,0.358
Carrot,213,2.9,0.358
Amaranth,213,3.2,0.358
Cheal,393,2.9,0.358
Carrot,164,2,0.357
Amaranth,213,2.7,0.357
Setfa,263,2.1,0.357
Setfa,263,2,0.357
Amaranth,164,1.9,0.356
Setfa,213,2.3,0.356
Cheal,263,1.8,0.356
Amaranth,263,3.1,0.356
Amaranth,213,2,0.355
Carrot,164,2.7,0.354
Setfa,213,1.6,0.354
Setfa,164,1.8,0.354
Amaranth,213,3.1,0.353
Carrot,213,2.2,0.353
Setfa,213,2.8,0.353
Cheal,263,3,0.352
Mustard,164,3.6,0.351
Cheal,393,3.7,0.351
Mustard,113,2,0.35
Setfa,164,1.6,0.35
Cheal,164,1.7,0.35
Amaranth,213,2.1,0.35
Setfa,263,2.5,0.349
Amaranth,263,2.4,0.349
Amaranth,213,3.8,0.348
Digsa,263,2.5,0.348
Cheal,263,3,0.348
Amaranth,263,2.1,0.347
Amaranth,213,2.4,0.346
Cheal,340,2.6,0.345
Carrot,393,9.7,0.345
Amaranth,164,2.3,0.344
Setfa,263,2.2,0.344
Digsa,164,1.6,0.343
Setfa,263,2,0.342
Setfa,164,1.8,0.341
Amaranth,213,2.8,0.341
Setfa,164,1.1,0.341
Carrot,164,1.5,0.34
Setfa,164,1.3,0.34
Setfa,263,2.4,0.34
Mustard,113,1.2,0.338
Carrot,164,2.5,0.338
Cheal,340,3.3,0.335
Carrot,164,2,0.335
Setfa,164,0.7,0.334
Cheal,393,3.6,0.333
Amaranth,263,2.9,0.333
Amaranth,263,2.7,0.333
Amaranth,164,2,0.332
Carrot,164,1.9,0.332
Amaranth,213,3.4,0.331
Cheal,340,2.8,0.331
Setfa,164,2.4,0.33
Carrot,164,2,0.33
Amaranth,113,1.3,0.33
Carrot,164,1.7,0.329
Digsa,213,1.1,0.328
Cheal,213,2.5,0.328
Setfa,213,1.3,0.328
Mustard,113,1.8,0.327
Setfa,164,2.2,0.327
Amaranth,213,2.5,0.327
Amaranth,213,2.5,0.327
Setfa,213,2.8,0.327
Amaranth,263,2.5,0.327
Cheal,340,2.4,0.325
Cheal,340,3.2,0.325
Digsa,263,3.5,0.325
Cheal,263,3.6,0.325
Carrot,213,4.7,0.325
Amaranth,263,4.4,0.324
Amaranth,164,1.6,0.324
Carrot,213,2.5,0.323
Setfa,213,1.6,0.323
Digsa,263,1.4,0.322
Digsa,393,3.9,0.322
Carrot,164,3,0.321
Setfa,164,2.1,0.321
Carrot,393,5.4,0.321
Cheal,393,3,0.321
Digsa,213,1.5,0.321
Cheal,263,2.8,0.321
Setfa,164,1.3,0.32
Digsa,263,1.4,0.32
Amaranth,164,1.5,0.319
Amaranth,164,2.3,0.319
Cheal,263,3.7,0.318
Cheal,213,2.9,0.318
Amaranth,263,4.6,0.317
Cheal,393,3.1,0.317
Setfa,164,1.8,0.317
